label	suggested	rule	category	left	right	stratum	mechanism	sim	evidence
different	different	differing-digits	HackerGroup	UAC-0132	UAC-0184	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0132	UAC-0188	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0132	UAC-0195	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0132	UAC-0198	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0132	UAC-0212	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0133	UAC-0140	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0133	UAC-0142	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0133	UAC-0145	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0133	UAC-0149	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0133	UAC-0154	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0133	UAC-0165	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0133	UAC-0168	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0133	UAC-0170	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0133	UAC-0177	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0133	UAC-0180	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0133	UAC-0184	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0133	UAC-0188	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0133	UAC-0195	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0133	UAC-0198	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0140	UAC-0154	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0140	UAC-0165	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0140	UAC-0168	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0140	UAC-0173	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0140	UAC-0177	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0140	UAC-0184	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0140	UAC-0188	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0140	UAC-0195	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0140	UAC-0198	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0140	UAC-0200	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0140	UAC-0210	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0142	UAC-0154	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0142	UAC-0165	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0142	UAC-0168	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0142	UAC-0170	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0142	UAC-0173	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0142	UAC-0177	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0142	UAC-0180	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0142	UAC-0184	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0142	UAC-0188	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0142	UAC-0195	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0142	UAC-0198	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0142	UAC-0212	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0145	UAC-0154	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0145	UAC-0168	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0145	UAC-0170	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0145	UAC-0173	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0145	UAC-0177	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0145	UAC-0180	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0145	UAC-0184	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0145	UAC-0188	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0145	UAC-0198	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0145	UAC-0215	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0149	UAC-0154	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0149	UAC-0165	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0149	UAC-0168	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0149	UAC-0170	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0149	UAC-0173	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0149	UAC-0177	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0149	UAC-0180	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0149	UAC-0184	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0149	UAC-0188	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0149	UAC-0195	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0149	UAC-0198	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0154	UAC-0165	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0154	UAC-0168	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0154	UAC-0170	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0154	UAC-0173	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0154	UAC-0177	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0154	UAC-0180	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0154	UAC-0188	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0154	UAC-0195	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0154	UAC-0198	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0154	UAC-0215	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0165	UAC-0170	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0165	UAC-0173	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0165	UAC-0177	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0165	UAC-0180	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0165	UAC-0184	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0165	UAC-0188	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0165	UAC-0198	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0165	UAC-0215	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0168	UAC-0170	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0168	UAC-0173	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0168	UAC-0177	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0168	UAC-0180	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0168	UAC-0184	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0168	UAC-0195	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0168	UAC-0218	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0170	UAC-0184	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0170	UAC-0188	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0170	UAC-0195	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0170	UAC-0198	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0170	UAC-0200	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0170	UAC-0210	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0173	UAC-0180	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0173	UAC-0184	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0173	UAC-0188	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0173	UAC-0195	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0173	UAC-0198	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0177	UAC-0180	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0177	UAC-0184	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0177	UAC-0188	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0177	UAC-0195	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0177	UAC-0198	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0180	UAC-0195	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0180	UAC-0198	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0180	UAC-0200	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0180	UAC-0210	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0180	UAC-0218	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0184	UAC-0195	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0184	UAC-0198	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0184	UAC-0218	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0188	UAC-0195	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0188	UAC-0218	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0195	UAC-0215	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0198	UAC-0218	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0200	UAC-0212	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0200	UAC-0215	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UAC-0200	UAC-0218	a	edit-similarity	0.75	
different	different	differing-digits	HackerGroup	UNC2596	unc2589	a	edit-similarity	0.7143	
	review	none	Individual	Микола Худинцев	Худинцев Микола Миколайович	a	edit-similarity	0.8	
same	same	punctuation-only	Organization	Trend Micro	Trendmicro	a	edit-similarity	0.9091	
	review	none	Organization	STARK INDUSTRIES SOLUTIONS LTD	stark-industries.solutions	a	edit-similarity	0.8571	
same	same	punctuation-only	Organization	UKR.NET	Ukrnet	a	edit-similarity	0.8571	
	review	none	Organization	Check Point	Check Point Research	a	edit-similarity	0.8	
same	same	punctuation-only	Organization	NO-IP	NoIP	a	edit-similarity	0.8	
	review	none	Organization	DigitalOcean	digitalocean.com	a	edit-similarity	0.75	
	review	none	Organization	Cherry Servers	cherryservers.com	a	edit-similarity	0.7059	
	review	none	Organization	cloudx.ru	macloud.ru	a	edit-similarity	0.7	
same	same	cross-script	Organization	NATO	НАТО	b	transliteration	0	
	review	none	Sector	Підприємства оборонно-промислового комплексу	підприємств оборонно-промислового комплексу	a	edit-similarity	0.9773	
	review	none	Sector	державна організація України	державні організації України	a	edit-similarity	0.9286	
	review	none	Sector	державна організація	державні організації	a	edit-similarity	0.9	
	review	none	Sector	вебсайти державних органів	сайти державних органів	a	edit-similarity	0.8846	
	review	none	Sector	Ukrainian heat supply sector	Ukrainian water supply sector	a	edit-similarity	0.8621	
	review	none	Sector	Heat supply sector	Ukrainian heat supply sector	a	edit-similarity	0.8571	
	review	none	Sector	Ukrainian water supply sector	Water supply sector	a	edit-similarity	0.8571	
	review	none	Sector	Державні фінансові установи України	Фінансові установи України	a	edit-similarity	0.8571	
	review	none	Sector	Державні фінансові установи України	державні установи України	a	edit-similarity	0.8571	
	review	none	Sector	Органи державної влади	органи державної влади Польщі	a	edit-similarity	0.8571	
	review	none	Sector	Органи державної влади	органи державної влади України	a	edit-similarity	0.8571	
	review	none	Sector	Органи державної влади	українські органи державної влади	a	edit-similarity	0.8571	
	review	none	Sector	органи місцевого самоврядування	органи місцевого самоврядування України	a	edit-similarity	0.8571	
	review	none	Sector	вебресурси державних організацій	вебсайти державних організацій	a	edit-similarity	0.8438	
	review	none	Sector	вебсайти державних органів	вебсайти державних організацій	a	edit-similarity	0.8333	
	review	none	Sector	Медійні організації України	державні організації України	a	edit-similarity	0.8214	
	review	none	Sector	Russian government bodies	Ukrainian government bodies	a	edit-similarity	0.8148	
	review	none	Sector	державні установи	державні установи США	a	edit-similarity	0.8095	
	review	none	Sector	Energy sector	Ukrainian energy sector	a	edit-similarity	0.8	
	review	none	Sector	Government bodies and enterprises of Ukraine	Government bodies of Ukraine	a	edit-similarity	0.8	
	review	none	Sector	Ukrainian defense enterprises	Ukrainian enterprises	a	edit-similarity	0.8	
	review	none	Sector	Ukrainian government organizations	Ukrainian organizations	a	edit-similarity	0.8	
	review	none	Sector	Ukrainian media organizations	Ukrainian organizations	a	edit-similarity	0.8	
	review	none	Sector	Ukrainian providers	Ukrainian telecommunications providers	a	edit-similarity	0.8	
	review	none	Sector	Медійні організації України	організації України	a	edit-similarity	0.8	
	review	none	Sector	державна організація	державна організація України	a	edit-similarity	0.8	
	review	none	Sector	державні органи	державні органи України	a	edit-similarity	0.8	
	review	none	Sector	державні органи України	державні установи України	a	edit-similarity	0.8	
	review	none	Sector	державні органи та органи місцевого самоврядування України	органи місцевого самоврядування України	a	edit-similarity	0.8	
	review	none	Sector	державні організації	державні організації України	a	edit-similarity	0.8	
	review	none	Sector	державні організації України	організації України	a	edit-similarity	0.8	
	review	none	Sector	державні та приватні установи, організації та підприємства	державні установи та підприємства	a	edit-similarity	0.8	
	review	none	Sector	державні установи	державні установи України	a	edit-similarity	0.8	
	review	none	Sector	Ukrainian defense sector	Ukrainian energy sector	a	edit-similarity	0.7917	
	review	none	Sector	Heat supply sector	Water supply sector	a	edit-similarity	0.7895	
	review	none	Sector	Government bodies of Ukraine	Government sector of Ukraine	a	edit-similarity	0.7857	
	review	none	Sector	державні органи України	державні організації України	a	edit-similarity	0.7857	
	review	none	Sector	Ukrainian government bodies	Ukrainian government sector	a	edit-similarity	0.7778	
	review	none	Sector	Austrian organizations	German organizations	a	edit-similarity	0.7727	
	review	none	Sector	Ukrainian government bodies	Ukrainian government officials	a	edit-similarity	0.7667	
	review	none	Sector	органи державної влади Польщі	органи державної влади України	a	edit-similarity	0.7667	
	review	none	Sector	державні установи США	державні установи України	a	edit-similarity	0.76	
	review	none	Sector	Веб-ресурси державних органів України	вебресурси державних організацій	a	edit-similarity	0.7568	
	review	none	Sector	Commercial sector of Ukraine	Government sector of Ukraine	a	edit-similarity	0.75	
	review	none	Sector	Медійні організації України	державна організація України	a	edit-similarity	0.75	
	review	none	Sector	державна організація України	державні органи України	a	edit-similarity	0.75	
	review	none	Sector	органи державної влади Польщі	українські органи державної влади	a	edit-similarity	0.75	
	review	none	Sector	органи державної влади України	українські органи державної влади	a	edit-similarity	0.75	
	review	none	Sector	Ukrainian defense sector	Ukrainian government sector	a	edit-similarity	0.7407	
	review	none	Sector	Austrian organizations	Ukrainian organizations	a	edit-similarity	0.7391	
	review	none	Sector	German organizations	Ukrainian organizations	a	edit-similarity	0.7391	
	review	none	Sector	Ukrainian government officials	Ukrainian government organizations	a	edit-similarity	0.7353	
	review	none	Sector	Ukrainian government organizations	Ukrainian media organizations	a	edit-similarity	0.7353	
	review	none	Sector	Ukrainian government officials	Ukrainian government sector	a	edit-similarity	0.7333	
	review	none	Sector	вебсайти державних організацій	сайти державних органів	a	edit-similarity	0.7333	
	review	none	Sector	польські організації	українські організації	a	edit-similarity	0.7273	
	review	none	Sector	державні органи	державні установи	a	edit-similarity	0.7059	
	review	none	Sector	Ukrainian energy sector	Ukrainian government sector	a	edit-similarity	0.7037	
	review	none	Sector	державні органи	державні організації	a	edit-similarity	0.7	
same	same	punctuation-only	Software	Base-Update.exe	base_update.exe	a	edit-similarity	1	
	review	none	Software	PowerShell (powershell.exe)	powershell.exe	a	edit-similarity	1	
different	different	differing-digits	Software	Microsoft Exchange Server 2010	Microsoft Exchange Server 2013	a	edit-similarity	0.9667	
different	different	differing-digits	Software	Microsoft Exchange Server 2010	Microsoft Exchange Server 2016	a	edit-similarity	0.9667	
different	different	differing-digits	Software	Microsoft Exchange Server 2010	Microsoft Exchange Server 2019	a	edit-similarity	0.9667	
different	different	differing-digits	Software	Microsoft Exchange Server 2013	Microsoft Exchange Server 2016	a	edit-similarity	0.9667	
different	different	differing-digits	Software	Microsoft Exchange Server 2013	Microsoft Exchange Server 2019	a	edit-similarity	0.9667	
different	different	differing-digits	Software	Microsoft Exchange Server 2016	Microsoft Exchange Server 2019	a	edit-similarity	0.9667	
different	different	differing-digits	Software	Microsoft Office 2010	Microsoft Office 2013	a	edit-similarity	0.9524	
different	different	differing-digits	Software	Microsoft Office 2010	Microsoft Office 2016	a	edit-similarity	0.9524	
different	different	differing-digits	Software	Microsoft Office 2010	Microsoft Office 2019	a	edit-similarity	0.9524	
different	different	differing-digits	Software	Microsoft Office 2013	Microsoft Office 2016	a	edit-similarity	0.9524	
different	different	differing-digits	Software	Microsoft Office 2013	Microsoft Office 2019	a	edit-similarity	0.9524	
different	different	differing-digits	Software	Microsoft Office 2016	Microsoft Office 2019	a	edit-similarity	0.9524	
different	different	differing-digits	Software	Windows Server 2012	Windows Server 2016	a	edit-similarity	0.9474	
different	different	differing-digits	Software	Windows Server 2012	Windows Server 2019	a	edit-similarity	0.9474	
different	different	differing-digits	Software	Windows Server 2016	Windows Server 2019	a	edit-similarity	0.9474	
different	different	differing-digits	Software	shellcode.x64 (Cobalt Strike Beacon)	shellcode.x86 (Cobalt Strike Beacon)	a	edit-similarity	0.9444	
different	different	differing-digits	Software	ArmyPlusInstaller-v.0.10.23672.exe	ArmyPlusInstaller-v.0.10.23722.exe	a	edit-similarity	0.9412	
different	different	differing-digits	Software	1.Платiжна iнструкцiя iпн та вытяг з реестру Код документа 9312-0580-6944-3255.exe	Платiжна iнструкцiя iпн та вытяг з реестру Код документа 9312-0580-6944-3255.zip	a	edit-similarity	0.939	
same	same	punctuation-only	Software	Remote Utilities	RemoteUtilities	a	edit-similarity	0.9375	
different	different	differing-digits	Software	Microsoft Windows Server 2008 R2 for Itanium-based Systems SP1	Microsoft Windows Server 2008 for Itanium-based Systems SP2	a	edit-similarity	0.9355	
different	different	differing-digits	Software	Microsoft Windows Server 2008 R2 for x64-based Systems SP1	Microsoft Windows Server 2008 for x64-based Systems SP2	a	edit-similarity	0.931	
different	different	differing-digits	Software	CVE-2017-17688	CVE-2017-17689	a	edit-similarity	0.9286	
different	different	differing-digits	Software	CVE-2018-20250	CVE-2018-20251	a	edit-similarity	0.9286	
different	different	differing-digits	Software	CVE-2018-20250	CVE-2018-20252	a	edit-similarity	0.9286	
different	different	differing-digits	Software	CVE-2018-20250	CVE-2018-20253	a	edit-similarity	0.9286	
different	different	differing-digits	Software	CVE-2018-20251	CVE-2018-20252	a	edit-similarity	0.9286	
different	different	differing-digits	Software	CVE-2018-20251	CVE-2018-20253	a	edit-similarity	0.9286	
different	different	differing-digits	Software	CVE-2018-20252	CVE-2018-20253	a	edit-similarity	0.9286	
different	different	differing-digits	Software	CVE-2021-26855	CVE-2021-26857	a	edit-similarity	0.9286	
different	different	differing-digits	Software	CVE-2021-26855	CVE-2021-26858	a	edit-similarity	0.9286	
different	different	differing-digits	Software	CVE-2021-26857	CVE-2021-26858	a	edit-similarity	0.9286	
different	different	differing-digits	Software	CVE-2022-23131	CVE-2022-23134	a	edit-similarity	0.9286	
different	different	differing-digits	Software	CVE-2018-7600	CVE-2018-7602	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2018-8120	CVE-2018-8124	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2018-8120	CVE-2018-8127	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2018-8120	CVE-2018-8129	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2018-8120	CVE-2018-8170	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2018-8124	CVE-2018-8127	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2018-8124	CVE-2018-8129	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2018-8124	CVE-2018-8134	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2018-8124	CVE-2018-8174	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2018-8127	CVE-2018-8129	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2018-8132	CVE-2018-8134	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2018-8132	CVE-2018-8136	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2018-8134	CVE-2018-8136	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2018-8134	CVE-2018-8174	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2018-8170	CVE-2018-8174	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-0601	CVE-2020-0609	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-0601	CVE-2020-0611	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-0610	CVE-2020-0611	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3110	CVE-2020-3111	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3110	CVE-2020-3118	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3110	CVE-2020-3119	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3110	CVE-2020-3120	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3111	CVE-2020-3118	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3111	CVE-2020-3119	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3111	CVE-2020-3191	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3118	CVE-2020-3119	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3119	CVE-2020-3179	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3119	CVE-2020-3189	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3120	CVE-2020-3125	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3125	CVE-2020-3195	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3179	CVE-2020-3189	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3187	CVE-2020-3189	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3191	CVE-2020-3195	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3191	CVE-2020-3196	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3195	CVE-2020-3196	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3254	CVE-2020-3255	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3254	CVE-2020-3259	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3255	CVE-2020-3259	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3259	CVE-2020-3759	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-3757	CVE-2020-3759	a	edit-similarity	0.9231	
different	different	differing-digits	Software	CVE-2020-7047	CVE-2020-7048	a	edit-similarity	0.9231	
	review	none	Software	Cisco IOS XE	Cisco IOS XR	a	edit-similarity	0.9167	
same	same	punctuation-only	Software	DARKCRYSTALRAT (DCRAT)	Dark Crystal RAT (DCRAT)	a	edit-similarity	0.9167	
	review	none	Software	ruhbll32.dll	runbll32.dll	a	edit-similarity	0.9167	
same	same	punctuation-only	Software	Agent Tesla	AgentTesla	a	edit-similarity	0.9091	
same	same	punctuation-only	Software	October CMS	OctoberCMS	a	edit-similarity	0.9091	
different	different	differing-digits	Software	Office 2010	Office 2013	a	edit-similarity	0.9091	
different	different	differing-digits	Software	Office 2010	Office 2016	a	edit-similarity	0.9091	
different	different	differing-digits	Software	Office 2013	Office 2016	a	edit-similarity	0.9091	
same	same	punctuation-only	Software	RDP Wrapper	RDPWrapper	a	edit-similarity	0.9091	
	review	none	Software	cscript.exe	wscript.exe	a	edit-similarity	0.9091	
	review	none	Software	icloud.cmd	iclouds.cmd	a	edit-similarity	0.9091	
different	different	differing-digits	Software	Microsoft Office 2007	Microsoft Office 2010	a	edit-similarity	0.9048	
different	different	differing-digits	Software	Microsoft Office 2007	Microsoft Office 2013	a	edit-similarity	0.9048	
different	different	differing-digits	Software	Microsoft Office 2007	Microsoft Office 2016	a	edit-similarity	0.9048	
different	different	differing-digits	Software	Microsoft Office 2007	Microsoft Office 2019	a	edit-similarity	0.9048	
different	different	differing-digits	Software	Microsoft Windows Server 2008 R2 for Itanium-based Systems SP1	Microsoft Windows Server 2008 R2 for x64-based Systems SP1	a	edit-similarity	0.9	
same	same	punctuation-only	Software	QUASAR RAT	QuasarRAT	a	edit-similarity	0.9	
same	same	punctuation-only	Software	Remcos RAT	RemcosRAT	a	edit-similarity	0.9	
different	different	differing-digits	Software	stage1.ps1	stage2.ps1	a	edit-similarity	0.9	
	review	none	Software	Електронний план евакуації.exe	Електронний план евакуації.rar	a	edit-similarity	0.9	
different	different	differing-digits	Software	Windows Server 2008	Windows Server 2012	a	edit-similarity	0.8947	
different	different	differing-digits	Software	Windows Server 2008	Windows Server 2016	a	edit-similarity	0.8947	
different	different	differing-digits	Software	Windows Server 2008	Windows Server 2019	a	edit-similarity	0.8947	
different	different	differing-digits	Software	Microsoft Windows Server 2008 for Itanium-based Systems SP2	Microsoft Windows Server 2008 for x64-based Systems SP2	a	edit-similarity	0.8889	
	review	none	Software	Windows_Security_Update_HxW	Windows_Security_Update_gMj	a	edit-similarity	0.8889	
	review	none	Software	Windows_Security_Update_HxW	Windows_Security_Update_xBQ	a	edit-similarity	0.8889	
	review	none	Software	Windows_Security_Update_gMj	Windows_Security_Update_xBQ	a	edit-similarity	0.8889	
	review	none	Software	рахунки компания технік.lzh	рахунки компания технік.zip	a	edit-similarity	0.8889	
different	different	differing-digits	Software	shellcode.x64.bin	shellcode.x86.bin	a	edit-similarity	0.8824	
	review	none	Software	Видаткова_накладная_№121_вiд_18_липня_2023p.pdf.js	Видаткова_накладная_№121_вiд_18_липня_2023p.zip	a	edit-similarity	0.88	
	review	none	Software	ROMFUSClient.exe	rfusclient.exe	a	edit-similarity	0.875	
	review	none	Software	inf.zip	info.zip	a	edit-similarity	0.875	
different	different	differing-digits	Software	Microsoft Windows Server 2008 for 32-bit Systems SP2	Microsoft Windows Server 2008 for x64-based Systems SP2	a	edit-similarity	0.8727	
	review	none	Software	cpcrs.exe (DoubleZero)	csrss.exe (DoubleZero)	a	edit-similarity	0.8636	
	review	one-sided-digits	Software	AutoIt	AutoIt3	a	edit-similarity	0.8571	
different	different	differing-digits	Software	CVE-2020-3120	CVE-2021-31207	a	edit-similarity	0.8571	
